;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
mojo_uint32;20;39;41;43;43;45;48;51;55;58;69;77;74;85;120;99;
netw_uint32;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;
mojo_int32;19;38;39;41;41;43;47;49;51;57;60;65;76;85;95;100;
netw_int32;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;
mojo_float32;19;38;39;40;40;42;47;48;51;55;60;61;130;85;91;108;
netw_float32;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;
mojo_uint16;19;38;86;37;39;41;46;53;55;123;136;62;66;152;77;78;93;95;320;122;135;149;160;175;180;188;204;211;225;220;241;246;
netw_uint16;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;
mojo_int16;19;37;37;38;160;43;49;51;50;52;58;296;232;71;72;77;81;93;455;107;126;123;423;200;171;171;181;858;558;369;406;310;
netw_int32;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;
mojo_float16;96;47;47;46;199;187;60;59;58;59;65;62;69;72;73;83;94;390;115;528;547;228;193;176;162;555;365;317;262;306;338;915;
netw_float16;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;
mojo_uint8;64;98;98;101;89;80;88;87;87;88;84;87;81;80;88;91;92;96;507;114;116;123;132;110;138;729;173;185;190;202;885;619;484;605;426;1001;602;407;577;445;420;438;453;484;513;515;542;566;575;583;604;652;647;664;679;693;725;738;758;798;781;809;842;860;
